CompanyName,CompanyNumber,sample_group,SICCode.SicText_1,RegAddress.PostTown,RegAddress.PostCode,guessed_website
SCENTZORA LTD,SC889381,retail,47910 - Retail sale via mail order houses or via Internet,GLENROTHES,KY7 5TD,https://www.scentzora.com
LOVE BEAUTIFUL LIVERPOOL LTD,16356119,retail,"47990 - Other retail sale not in stores, stalls or markets",WALLASEY,CH45 5EU,
BMEX LIMITED,03979288,retail,47190 - Other retail sale in non-specialised stores,WITNEY,OX28 4XZ,
DRAGO ENTERPRISES LTD,09894033,retail,"47990 - Other retail sale not in stores, stalls or markets",LONDON,W12 9BH,https://www.dragoenterprises.com
M J VISUAL SYSTEMS LIMITED,03047285,retail,"47990 - Other retail sale not in stores, stalls or markets",CHICHESTER,PO19 8DJ,
FRAME & FLUFF CO LTD,14846046,retail,47910 - Retail sale via mail order houses or via Internet,BURY ST. EDMUNDS,IP28 7DE,
NI GATEWAY LOGISTICS LTD,NI742065,retail,47910 - Retail sale via mail order houses or via Internet,BELFAST,BT16 2YJ,https://www.nigatewaylogistics.co.uk
EUSEBIO SPORT UK LIMITED,17183892,retail,"47640 - Retail sale of sports goods, fishing gear, camping goods, boats and bicycles",HOVE,BN3 3YL,https://www.eusebiosport.co.uk
INDOMPTABLES LTD,16153030,retail,47910 - Retail sale via mail order houses or via Internet,LONDON,N22 8HH,
HOME DESIGN DIRECT LTD,09382258,retail,"47530 - Retail sale of carpets, rugs, wall and floor coverings in specialised stores",STOCKTON,WR6 6UN,https://www.homedesigndirect.com
MAAKK LTD,SC821042,retail,47910 - Retail sale via mail order houses or via Internet,GLASGOW,G42 8RR,https://www.maakk.com
TRADETRENDZ LIMITED,15127711,retail,47910 - Retail sale via mail order houses or via Internet,LONDON,EC3V 9BQ,https://www.tradetrendz.com
ALL STEEL FOR BUILDING LIMITED,12034819,manufacturing,25110 - Manufacture of metal structures and parts of structures,EXETER,EX2 5WS,https://www.allsteelforbuilding.com
DANIELS BAGEL BAKERY LTD,05527679,manufacturing,10710 - Manufacture of bread; manufacture of fresh pastry goods and cakes,,NW6 4PJ,
G.P.R. LIMITED,01809243,manufacturing,25620 - Machining,CAMBERLEY,GU15 2QW,
VERDE TEXTILES LTD,12412579,manufacturing,13300 - Finishing of textiles,KEIGHLEY,BD20 9EB,
SANDHUTTON BIOFUEL PLANT LIMITED,16253542,manufacturing,20110 - Manufacture of industrial gases,LONDON,EC4A 3AQ,
PREKA DIGITAL LTD,SC640111,manufacturing,10832 - Production of coffee and coffee substitutes,GLASGOW,G42 8AT,
VALLANCE TAILORS LTD,12337933,manufacturing,13200 - Weaving of textiles,LONDON,E1 4UN,
ACFORD DESIGN SERVICES LIMITED,02755070,manufacturing,25620 - Machining,COVENTRY,CV7 7PS,
ST MARY'S BREWERY LTD,10062623,manufacturing,11050 - Manufacture of beer,LONDON,NW3 3SA,
PRINT CRAZE LTD,11776294,manufacturing,14190 - Manufacture of other wearing apparel and accessories n.e.c.,BIRMINGHAM,B30 3PH,https://www.printcraze.com
HANDMADE ROSETTES LIMITED,09069953,manufacturing,13300 - Finishing of textiles,HULL,HU7 3GZ,
SNOWBIRD FOODS LIMITED,08257747,manufacturing,10110 - Processing and preserving of meat,ENFIELD,EN3 4TD,https://www.snowbirdfoods.co.uk
M'S BAKERY LTD,09471483,manufacturing,10710 - Manufacture of bread; manufacture of fresh pastry goods and cakes,BOURNEMOUTH,BH7 6AP,https://www.msbakery.co.uk
ALLEGRO FOODSERVICE LTD,14483697,manufacturing,10520 - Manufacture of ice cream,LONDON,NW1 5RA,
LADY B'S SAUCES LIMITED,16397115,manufacturing,10840 - Manufacture of condiments and seasonings,HORNCHURCH,RM12 5QJ,
THE CREATIVE STEEL COMPANY LIMITED,16799818,manufacturing,25990 - Manufacture of other fabricated metal products n.e.c.,LONDON,W3 6PQ,
OXFORD FILTRATION LIMITED,04058606,manufacturing,28290 - Manufacture of other general-purpose machinery n.e.c.,BRACKNELL,RG12 1RP,
WVA LIMITED,12804017,manufacturing,20420 - Manufacture of perfumes and toilet preparations,READING,RG10 0TA,https://www.wva.com
NENETTE CHOCOLATES LTD,17110963,manufacturing,10821 - Manufacture of cocoa and chocolate confectionery,LUTTERWORTH,LE17 6EX,https://www.nenettechocolates.co.uk
AONE PANNU LIMITED,16949568,manufacturing,"20301 - Manufacture of paints, varnishes and similar coatings, mastics and sealants",LONDON,EC2A 4NE,
AAD FABRICATION LTD,SC543119,manufacturing,25990 - Manufacture of other fabricated metal products n.e.c.,INVERURIE,AB51 0YQ,
DUNBAR DRINKS COMPANY LIMITED,SC479332,manufacturing,"11010 - Distilling, rectifying and blending of spirits",DUNBAR,EH42 1LW,
CONCEPT PATISSERIE LIMITED,11511192,manufacturing,10520 - Manufacture of ice cream,PINNER,HA5 5AF,
SPOONDAE LIMITED,16911299,manufacturing,10890 - Manufacture of other food products n.e.c.,SOLIHULL,B91 1NR,
"MANSFIELD, POLLARD & CO. LIMITED",00135633,manufacturing,28250 - Manufacture of non-domestic cooling and ventilation equipment,BRADFORD,BD4 9NU,https://www.mansfieldpollard.co.uk
JIGSAW BAKERY LTD,08192449,manufacturing,10710 - Manufacture of bread; manufacture of fresh pastry goods and cakes,LINTON,CB21 4JT,
NUTRINESTS LTD,16237964,manufacturing,10890 - Manufacture of other food products n.e.c.,TAUNTON,TA1 2NL,https://www.nutrinests.com
MOSSBURN DISTILLERS LIMITED,SC456414,manufacturing,"11010 - Distilling, rectifying and blending of spirits",JEDBURGH,TD8 6PJ,https://www.mossburndistillers.com
BLUE SKIES INTERNATIONAL LIMITED,14880534,manufacturing,10390 - Other processing and preserving of fruit and vegetables,NORTHAMPTON,NN6 9AA,
NEVERSAYDIE LIQUOR LIMITED,12182387,manufacturing,"11010 - Distilling, rectifying and blending of spirits",BRISTOL,BS1 6FL,
SPARKLES CAKES AND WEDDING ACCESSORIES LIMITED,05584429,manufacturing,10710 - Manufacture of bread; manufacture of fresh pastry goods and cakes,LANCASHIRE,M40 3NL,
EASTWOOD & SHARPLES LIMITED,00472336,manufacturing,10520 - Manufacture of ice cream,WIRRAL,CH64 6SA,
TRANSMIT CONTAINERS LIMITED,01861648,manufacturing,"25290 - Manufacture of other tanks, reservoirs and containers of metal",GREAT YARMOUTH,NR31 7RU,https://www.transmitcontainers.co.uk
MILANO TEXTILES LTD,13463037,manufacturing,13921 - Manufacture of soft furnishings,BRADFORD,BD9 5DD,
VICTORIA BEDWELL DESIGNS LTD,07107775,manufacturing,14190 - Manufacture of other wearing apparel and accessories n.e.c.,LONDON,W1K 5QE,
SMITH BULLOUGH LIMITED,04421461,manufacturing,25940 - Manufacture of fasteners and screw machine products,WIGAN,WN2 4AT,
THE HAMMERMAN EQUIPMENT PLASTIC PILING COMPANY LIMITED,04875224,manufacturing,28990 - Manufacture of other special-purpose machinery n.e.c.,BURNTWOOD,WS7 3FS,
KEEPER & COMB LIMITED,17118734,manufacturing,20420 - Manufacture of perfumes and toilet preparations,LONDON,EC1V 2NX,
SURREY BLIND & CURTAIN CO. LIMITED(THE),01287437,manufacturing,13921 - Manufacture of soft furnishings,CROYDON,CR0 9UG,
